15442	璑	16	1121311222214444	300
5107	珠	10	1121311234	300
16734	璳	17	11213112342511134	300
5108	珤	10	1121311252	300
118676	𤣳	7	1121312	340
42759	㻔	12	112131212211	330
118787	𤥢	11	11213121251	340
42743	㻄	10	1121312134	330
5109	珗	10	1121312135	300
20322	瓚	23	11213121353121352511134	300
19199	瓒	20	11213121353121352534	300
6811	珴	11	11213121534	300
5110	珽	10	1121312154	300
6812	琍	11	11213123422	300
119024	𤩏	16	1121312342511121	340
18512	瓈	19	1121312343533424134	300
118897	𤧐	13	1121312344334	340
42756	㻑	12	112131234521	330
6813	琇	11	11213123453	300
2256	玫	8	11213134	300
119038	𤩝	16	1121313425125251	340
119122	𤪱	19	1121314314322354333	340
118981	𤨤	15	112131431434333	340
119093	𤪔	18	112131431444525151	340
42793	㻶	16	1121314314511112	330
118828	𤦋	12	112131511234	340
6814	琁	11	11213152134	300
6815	珻	11	11213155414	300
118985	𤨨	15	112131554143134	340
10625	瑖	13	1121321113554	300
16735	璵	17	11213211152511134	300
118853	𤦤	12	112132151135	340
3557	玳	9	112132154	300
118812	𤥻	10	1121321554	340
1278	玔	7	1121322	300
118873	𤦸	13	1121322511234	340
118830	𤦍	12	112132351252	340
8676	琟	12	112132411121	300
42800	㻽	16	1121324111212525	330
13928	璡	15	112132411121454	300
42781	㻪	14	11213241112153	330
3558	珀	9	112132511	300
10626	瑝	13	1121325111121	300
118918	𤧥	14	11213251111214	340
12362	碧	14	11213251113251	300
8677	頇	12	112132511134	300
13929	鳿	15	112132511154444	300
10627	瑔	13	1121325112534	300
8678	琕	12	112132511312	300
10628	瑰	13	1121325113554	300
16736	璬	17	11213251141533134	300
12363	瑦	14	11213251154444	300
18513	瓅	19	1121325115545541234	300
10629	瑀	13	1121325125214	300
12364	瑡	14	11213251511252	300
5111	珦	10	1121325251	300
3559	顸	9	112132534	300
13930	璁	15	112132535414544	300
18514	瓆	19	1121331233122511134	300
42747	㻈	10	1121331251	330
5112	珩	10	1121332112	300
13931	瑽	15	112133234342134	300
118872	𤦷	13	1121332441112	340
5113	珘	10	1121335414	300
695	玐	6	112134	300
694	兲	6	112134	301
42746	㻇	10	1121341121	330
42751	㻌	11	11213411234	330
8679	琻	12	112134112431	300
42744	㻅	10	1121341154	330
5114	珨	10	1121341251	300
10630	瑜	13	1121341251122	300
110414	𢢭	17	11213412511224544	340
118831	𤦎	12	112134125122	340
16737	璯	17	11213412524312511	300
6816	琋	11	11213413252	300
5115	珧	10	1121341534	300
15443	璠	16	1121343123425121	300
2257	玠	8	11213432	300
3560	珍	9	112134333	300
42767	㻜	12	112134342134	330
10631	瑗	13	1121344311354	300
12365	瑶	14	11213443311252	300
12366	瑫	14	11213443321511	300
12367	瑷	14	11213443451354	300
119046	𤩥	16	1121344345354152	340
16738	璦	17	11213443454544354	300
6817	琈	11	11213443521	300
2258	玪	8	11213445	300
12368	瑲	14	11213445113251	300
6818	琀	11	11213445251	300
3561	玲	9	112134454	300
118861	𤦬	12	112134454544	340
2259	玢	8	11213453	300
2260	玜	8	11213454	300
2261	玱	8	11213455	300
696	玑	6	112135	300
2262	玥	8	11213511	300
42765	㻚	12	112135113511	330
8680	琱	12	112135121251	300
5116	珮	10	1121351252	300
119112	𤪧	18	112135132511154444	340
5117	珟	10	1121351354	300
8681	琘	12	112135152511	300
3562	珎	9	112135234	300
3563	玽	9	112135251	300
5118	珣	10	1121352511	300
42749	㻊	11	11213525135	330
10632	瑍	13	1121352534134	300
17740	瓊	18	112135253425111354	300
118983	𤨦	15	112135313412512	340
118907	𤧚	13	1121353344544	340
118832	𤦏	12	112135334544	340
2263	表	8	11213534	300
42728	㺵	8	11213534	330
3564	珊	9	112135351	300
3565	珋	9	112135352	300
1279	麦	7	1121354	300
1280	玖	7	1121354	301
1281	玓	7	1121354	302
42719	㺬	7	1121354	330
2264	玬	8	11213541	300
6819	琒	11	11213541112	300
42788	㻱	14	11213541112454	330
6820	麸	11	11213541134	300
15444	麺	16	1121354132522111	300
141869	𪎌	14	11213541431234	340
42778	㻧	14	11213541521234	330
5119	珞	10	1121354251	300
118754	𤥁	10	1121354251	340
118753	𤥀	10	1121354354	340
13932	麹	15	112135435431234	300
12369	瑤	14	11213544311252	300
42785	㻮	15	112135445411234	330
12370	瑠	14	11213545325121	300
120467	𤿲	12	112135453254	340
5120	琤	10	1121355112	300
3566	玸	9	112135515	300
118684	𤣻	8	11213554	340
359	玉	5	11214	300
358	玊	5	11214	301
6821	琂	11	11214111251	300
119146	𤫉	21	112141112514334433454	340
118741	𤤴	10	1121411214	340
118714	𤤙	10	1121412214	340
2265	玣	8	11214124	300
8682	琼	12	112141251234	300
19703	瓖	21	112141251251112213534	300
118912	𤧟	13	1121412514512	340
118876	𤦻	13	1121412514535	340
42798	㻻	16	1121412515213134	330
19200	瓌	20	11214125221241343534	300
16739	璮	17	11214125251125111	300
42808	㼅	18	112141312212512134	330
118755	𤥂	10	1121413234	340
118816	𤥿	12	112141323544	340
118940	𤧻	13	1121413312154	340
2266	玟	8	11214134	300
8683	斑	12	112141341121	300
6822	珳	11	11214134333	300
5121	珓	10	1121413434	300
8684	琗	12	112141343412	300
12371	璃	14	11214134522554	300
12372	瑭	14	11214135112251	300
8685	琣	12	112141431251	300
13933	璋	15	112141431251112	300
19201	瓏	20	11214143125111515111	300
13934	璄	15	112141431251135	300
118875	𤦺	13	1121414312512	340
17741	瓋	18	112141432512251454	300
17742	璾	18	112141432533543211	300
118908	𤧛	13	1121414345252	340
118926	𤧭	14	11214143454153	340
118690	𤤁	8	11214153	340
13935	璇	15	112141533152134	300
42773	㻢	13	1121415331525	330
42764	㻙	12	112141542511	330
6823	琉	11	11214154325	300
5122	珫	10	1121415435	300
3567	玹	9	112141554	300
42784	㻭	15	112141554413412	330
5123	珜	10	1121431112	300
10633	瑳	13	1121431113121	300
6824	琷	11	11214311135	300
118986	𤨩	14	11214311135211	340
5124	班	10	1121431121	300
118911	𤧞	13	1121431121134	340
42804	㼁	17	11214311213121534	330
42741	㻂	10	1121431132	330
118837	𤦔	12	112143113455	340
15445	璘	16	1121431234354152	300
10634	瑐	13	1121431251122	300
42776	㻥	13	1121431253511	330
15446	璲	16	1121431353334454	300
42780	㻩	14	11214315112234	330
118938	𤧹	13	1121431554554	340
15447	璔	16	1121432524312511	300
8686	琰	12	112143344334	300
42809	㼆	19	1121433443344511214	330
119109	𤪤	18	112143344334451234	340
119011	𤩂	16	1121433443344553	340
6825	珶	11	11214351523	300
118751	𤤾	10	1121441112	340
8687	琺	12	112144112154	300
13936	璖	15	112144115151234	300
42729	㺶	8	11214412	330
119067	𤩺	18	112144311213121534	340
5125	珱	10	1121443531	300
8688	琮	12	112144511234	300
6826	琓	11	11214451135	300
8689	琔	12	112144512134	300
17743	璸	18	112144512332511134	300
10635	瑄	13	1121445125111	300
13937	璌	15	112144512512134	300
118982	𤨥	15	112144513412512	340
119064	𤩷	17	11214451343425111	340
118959	𤨎	14	11214451353334	340
118829	𤦌	12	112144525111	340
42763	㻘	12	112144525112	330
8690	琯	12	112144525151	300
12373	瑸	14	11214453212134	300
42771	㻠	13	1121445341344	330
10636	瑏	13	1121445341523	300
119131	𤪺	19	1121445343123425121	340
12374	瑢	14	11214453434251	300
8691	琬	12	112144535455	300
119092	𤪓	18	112144541343425111	340
119110	𤪥	18	112144545442522112	340
118756	𤥃	10	1121445531	340
6827	琅	11	11214511534	300
118978	𤨡	14	11214511543511	340
8692	瑯	12	112145115452	300
10637	琿	13	1121451251112	300
15448	璭	16	1121451251112454	300
42769	㻞	13	1121451325122	330
5126	珲	10	1121451512	300
8693	琛	12	112145341234	300
118701	𤤌	8	11214535	340
1282	迋	7	1121454	300
3568	珌	9	112145434	300
118736	𤤯	9	112145534	340
361	玌	5	11215	300
360	匞	5	11215	301
5127	珒	10	1121511112	300
118916	𤧣	12	112151111254	340
15449	璕	16	1121511121251124	300
17744	璶	18	112151121444425221	300
16740	璛	17	11215112322151512	300
8694	琭	12	112151124134	300
42761	㻖	12	112151124134	330
6828	珺	11	11215113251	300
118807	𤥶	10	1121511352	340
42754	㻏	11	11215114334	330
5128	珢	10	1121511534	300
118675	𤣲	7	1121512	340
10638	瑕	13	1121512115154	300
118936	𤧷	14	11215131221534	340
8695	琚	12	112151312251	300
118712	𤤗	9	112151335	340
2267	玦	8	11215134	300
118886	𤧅	13	1121513431132	340
42792	㻵	16	1121513521521521	330
42760	㻕	12	112151352252	330
1283	玘	7	1121515	300
118674	𤣱	7	1121515	340
3569	珉	9	112151515	300
10639	瑉	13	1121515152511	300
118711	𤤖	9	112151532	340
42716	㺩	6	112152	330
42720	㺭	7	1121521	330
42725	㺲	8	11215211	330
10640	瑋	13	1121521251152	300
17745	瓍	18	112152131212511454	300
10641	瑂	13	1121521325111	300
42735	㺼	9	112152134	330
697	玏	6	112153	300
3570	玿	9	112153251	300
3571	珈	9	112153251	301
3572	玻	9	112153254	300
1284	玚	7	1121533	300
5129	敖	10	1121533134	300
19202	驁	20	11215331341211254444	300
15450	聱	16	1121533134122111	300
46419	䵅	21	112153313412343434354	330
45827	䫨	19	1121533134132511134	330
12375	獒	14	11215331341344	300
10642	嗸	13	1121533134251	300
16741	贅	17	11215331342511134	300
20323	鼇	23	11215331342511251211511	300
15451	螯	16	1121533134251214	300
10643	嶅	13	1121533134252	300
12376	赘	14	11215331342534	300
12377	摮	14	11215331343112	300
19704	鷔	21	112153313432511154444	300
17746	鏊	18	112153313434112431	300
17747	鳌	18	112153313435251211	300
19705	鰲	21	112153313435251214444	300
16742	謷	17	11215331344111251	300
12378	熬	14	11215331344444	300
10644	遨	13	1121533134454	300
41401	㥿	14	11215331344544	330
10645	嫯	13	1121533134531	300
10646	骜	13	1121533134551	300
5130	珕	10	1121535353	300
699	式	6	112154	300
698	丟	6	112154	301
42715	㺨	6	112154	330
42732	㺹	9	112154132	330
5131	珝	10	1121541541	300
13938	璆	15	112154154134333	300
17748	璻	18	112154154141343412	300
3573	珆	9	112154251	300
42745	㻆	10	1121542511	330
15452	璒	16	1121543341251431	300
118740	𤤳	8	11215434	340
42755	㻐	11	11215434354	330
2268	玧	8	11215435	300
10647	瑵	13	1121544251214	300
10648	瑈	13	1121545231234	300
